Date,Actual,Goal
4/4/2017,3663,4065
4/5/2017,2750,4044
4/6/2017,2803,4023
4/7/2017,2535,4002
4/8/2017,2493,3981
4/9/2017,3901,3961
4/10/2017,973,3941
4/11/2017,5842,3921
4/12/2017,2114,4156
4/13/2017,2219,4135
4/14/2017,4411,4114
4/15/2017,2253,4188
4/16/2017,2388,4167
4/17/2017,2934,4146
4/18/2017,4269,4125
4/19/2017,4081,4161
4/20/2017,2321,4157
4/21/2017,2849,4136
4/22/2017,2074,4115
4/23/2017,2634,4094
4/24/2017,4255,4073
4/25/2017,3343,4118
4/26/2017,4747,4097
4/27/2017,2484,4259
4/28/2017,2680,4237
4/29/2017,2275,4215
4/30/2017,2158,4193
5/1/2017,2023,4172
5/2/2017,2602,4151
5/3/2017,6568,4130
5/4/2017,2366,4377
5/5/2017,2286,4355
5/6/2017,1670,4333
5/7/2017,3172,4311
5/8/2017,6373,4289
5/9/2017,1381,4546
5/10/2017,1861,4523
5/11/2017,2240,4500
5/12/2017,2916,4477
5/13/2017,2263,4454
5/14/2017,2662,4431
5/15/2017,1690,4408
5/16/2017,3090,4385
5/17/2017,3753,4363
5/18/2017,2376,4341
5/19/2017,2955,4319
5/20/2017,1371,4319
5/21/2017,1791,4297
5/22/2017,1830,4275
5/23/2017,1681,4253
5/24/2017,3139,4231
5/25/2017,3110,4209
5/26/2017,1540,4187
5/27/2017,3976,4166
5/28/2017,8090,4145
5/29/2017,4821,4393
5/30/2017,5181,4500
5/31/2017,5745,4670
6/1/2017,5479,4938
6/2/2017,5259,5073
6/3/2017,2749,5119
6/4/2017,1226,5000
6/5/2017,9985,5000
6/6/2017,10535,5299
6/7/2017,8659,5616
6/8/2017,9028,5952
6/9/2017,16761,6309
6/10/2017,6610,6687
6/11/2017,2164,6683
6/12/2017,2289,6348
6/13/2017,4421,6030
6/14/2017,4638,5728
6/15/2017,3290,5441
6/16/2017,2709,5168
6/17/2017,2551,4909
6/18/2017,2308,4884
6/19/2017,4506,4859
6/20/2017,3591,4834
6/21/2017,5648,4809
6/22/2017,9163,5018
6/23/2017,6550,5319
6/24/2017,3950,5626
6/25/2017,3586,5542
6/26/2017,5305,5264
6/27/2017,5390,5290
6/28/2017,4260,5316
6/29/2017,8556,5263
6/30/2017,4439,5578
7/1/2017,4758,5521
7/2/2017,8561,5253
7/3/2017,4736,5568
7/4/2017,5146,5526
7/5/2017,2171,5393
7/6/2017,1878,5393
7/7/2017,2347,5123
7/8/2017,6653,4866
7/9/2017,3692,5157
7/10/2017,2062,5083
7/11/2017,4352,4828
7/12/2017,5514,4803
7/13/2017,5949,4980
7/14/2017,7423,5222
7/15/2017,15394,5535
7/16/2017,9430,5867
7/17/2017,4795,6219
7/18/2017,4802,6147
7/19/2017,6233,5839
7/20/2017,1955,5937
7/21/2017,5597,5737
7/22/2017,4136,5688
7/23/2017,2045,5403
7/24/2017,6030,5132
7/25/2017,6122,5356
7/26/2017,5325,5547
7/27/2017,5777,5535
7/28/2017,6052,5595
7/29/2017,5337,5709
7/30/2017,5166,5690
7/31/2017,4913,5506
8/1/2017,6568,5298
8/2/2017,7344,5615
8/3/2017,6158,5951
8/4/2017,3839,6002
8/5/2017,3928,6002
8/6/2017,7310,5898
8/7/2017,4551,6251
8/8/2017,5809,6166
8/9/2017,7765,6041
8/10/2017,6371,6403
8/11/2017,6650,6401
8/12/2017,5060,6463
8/13/2017,11972,6463
8/14/2017,6251,6850
8/15/2017,6600,6820
8/16/2017,1891,6743
8/17/2017,3229,6405
8/18/2017,5688,6084
8/19/2017,3249,5945
8/20/2017,4364,5647
8/21/2017,5602,5364
8/22/2017,5590,5423
8/23/2017,6094,5464
8/24/2017,3078,5621
8/25/2017,5359,5500
8/26/2017,3170,5450
8/27/2017,1096,5180
8/28/2017,6610,4930
8/29/2017,7558,5230
8/30/2017,6242,5550
8/31/2017,6796,5730
9/1/2017,6701,6000
9/2/2017,7173,6180
9/3/2017,13567,6430
9/4/2017,7074,6820
9/5/2017,5486,6890
9/6/2017,6793,6820
9/7/2017,6598,6810
9/8/2017,6850,6740
9/9/2017,2272,6780
9/10/2017,5876,6560
9/11/2017,6317,6320
9/12/2017,5801,6320
9/13/2017,4603,6140
9/14/2017,4890,5840
9/15/2017,5735,5550
9/16/2017,7111,5600
9/17/2017,7967,5940
9/18/2017,5513,6300
9/19/2017,5225,6260
9/20/2017,6120,5950
9/21/2017,5736,6000
9/22/2017,5912,5990
9/23/2017,1392,5970
9/24/2017,4498,5680
9/25/2017,2265,5400
9/26/2017,4204,5130
9/27/2017,5708,4880
9/28/2017,5150,5090
9/29/2017,6650,5120
9/30/2017,7923,5430
10/1/2017,1684,5760
10/2/2017,5201,5560
10/3/2017,5367,5440
10/4/2017,6734,5420
10/5/2017,5587,5750
10/6/2017,2813,5750
10/7/2017,9899,5470
10/8/2017,3647,5800
10/9/2017,6241,5700
10/10/2017,2789,5840
10/11/2017,6592,5690
10/12/2017,10167,5920
10/13/2017,5816,6280
10/14/2017,3095,6260
10/15/2017,7773,5950
10/16/2017,9873,6310
10/17/2017,8544,6690
10/18/2017,7676,7100
10/19/2017,6595,7250
10/20/2017,5861,7220
10/21/2017,1578,7220
10/22/2017,1866,6860
10/23/2017,4245,6520
10/24/2017,3058,6200
10/25/2017,2320,5890
10/26/2017,8169,5600
10/27/2017,5189,5940
10/28/2017,2614,5910
10/29/2017,1971,5620
10/30/2017,7309,5340
10/31/2017,6420,5660
11/1/2017,3238,5850
11/2/2017,5853,5720
11/3/2017,2825,5760
11/4/2017,2076,5620
11/5/2017,2147,5340
11/6/2017,3062,5080
11/7/2017,1355,4830
11/8/2017,886,4810
11/9/2017,5416,4790
11/10/2017,1302,4950
11/11/2017,1421,4930
11/12/2017,3101,4910
11/13/2017,1881,4890
11/14/2017,2115,4870
11/15/2017,1591,4850
11/16/2017,590,4830
11/17/2017,1907,4810
11/18/2017,7156,4790
11/19/2017,1313,5080
11/20/2017,2462,4900
11/21/2017,1601,4880
11/22/2017,2540,4860
11/23/2017,2466,4840
11/24/2017,202,4820
11/25/2017,0,4820
11/26/2017,,
11/27/2017,3578,4820
11/28/2017,3370,4800
11/29/2017,6656,4780
11/30/2017,1779,5070
12/1/2017,2482,4910
12/2/2017,1485,4890
12/3/2017,1317,4870
12/4/2017,2741,4850
12/5/2017,5030,4830
12/6/2017,3164,4880
12/7/2017,1503,4860
12/8/2017,1505,4840
12/9/2017,4063,4820
12/10/2017,4865,4800
12/11/2017,3451,4830
12/12/2017,1870,4810
12/13/2017,3623,4790
12/14/2017,5521,4790
12/15/2017,6060,4980
12/16/2017,11539,5250
12/17/2017,8065,5570
12/18/2017,8253,5910
12/19/2017,7496,6270
12/20/2017,2770,6580
12/21/2017,5247,6580
12/22/2017,1213,6520
12/23/2017,1909,6200
12/24/2017,2256,5890
12/25/2017,1988,5600
12/26/2017,1924,5320
12/27/2017,1763,5060
12/28/2017,282,4810
12/29/2017,1418,4810
12/30/2017,2838,4790
12/31/2017,3383,4770
1/1/2018,2456,4650
1/2/2018,2200,4220
1/3/2018,4786,3820
1/4/2018,3068,4670
1/5/2018,0,4670
1/6/2018,3168,4670
1/7/2018,2478,4650
1/8/2018,1622,4630
1/9/2018,3002,4610
1/10/2018,1776,4590
1/11/2018,,
1/12/2018,1605,4570
1/13/2018,3843,4550
1/14/2018,1075,4530
1/15/2018,57,4510
1/16/2018,1569,4510
1/17/2018,1887,4490
1/18/2018,1563,4470
1/19/2018,1483,4450
1/20/2018,3091,4430
1/21/2018,2231,4410
1/22/2018,2168,4390
1/23/2018,986,4370
1/24/2018,2778,4370
1/25/2018,1444,4350
1/26/2018,1167,4330
1/27/2018,1536,4310
1/28/2018,3690,4290
1/29/2018,1384,4270
1/30/2018,2387,4250
1/31/2018,756,4230
2/1/2018,1364,4230
2/2/2018,4270,4210
2/3/2018,2253,4240
2/4/2018,2351,4220
2/5/2018,2037,4200
2/6/2018,1738,4180
2/7/2018,1573,4160
2/8/2018,1008,4140
2/9/2018,4263,4120
2/10/2018,5367,4160
2/11/2018,6840,4410
2/12/2018,1753,4680
2/13/2018,1639,4660
2/14/2018,3396,4640
2/15/2018,300,4620
2/16/2018,1670,4620
2/17/2018,1340,4600
2/18/2018,2191,4580
2/19/2018,2728,4560
2/20/2018,1656,4540
2/21/2018,1890,4520
2/22/2018,873,4500
2/23/2018,1214,4500
2/24/2018,3394,4480
2/25/2018,4001,4460
2/26/2018,1733,4440
2/27/2018,953,4420
2/28/2018,1216,4400
3/1/2018,2724,4380
3/2/2018,559,4360
3/3/2018,,
3/4/2018,,
3/5/2018,1350,4360
3/6/2018,1173,4340
3/7/2018,2040,4320
3/8/2018,3752,4300
3/9/2018,1243,4280
3/10/2018,1925,4260
3/11/2018,1582,4240
3/12/2018,1340,4220
3/13/2018,337,4200
3/14/2018,1021,4200
3/15/2018,1726,4180
3/16/2018,2065,4160
3/17/2018,4097,4140
3/18/2018,1636,4130
3/19/2018,2267,4110
3/20/2018,1571,4090
3/21/2018,1336,4070
3/22/2018,1000,4050
3/23/2018,2240,4030
3/24/2018,4384,4010
3/25/2018,3887,4110
3/26/2018,1717,4100
3/27/2018,1276,4080
3/28/2018,3739,4060
3/29/2018,1409,4040
3/30/2018,149,4020
3/31/2018,3502,4020
4/1/2018,1936,4000
4/2/2018,2397,3980
4/3/2018,2488,3960
4/4/2018,1577,3940
4/5/2018,2199,3920
4/6/2018,1877,3900
4/7/2018,44,3880
4/8/2018,0,3880
4/9/2018,2839,3880
4/10/2018,2685,3860
4/11/2018,4828,3840
4/12/2018,2810,4070
4/13/2018,1284,4050
4/14/2018,3191,4030
4/15/2018,2004,4010
4/16/2018,1833,3990
4/17/2018,1720,3970
4/18/2018,1523,3950
4/19/2018,3023,3930
4/20/2018,3012,3910
4/21/2018,1610,3910
4/22/2018,1596,3890
4/23/2018,1952,3870
4/24/2018,3604,3850
4/25/2018,4491,3830
4/26/2018,2421,4000
4/27/2018,3180,3980
4/28/2018,2242,3960
4/29/2018,2215,3940
4/30/2018,1751,3920
5/1/2018,3852,3900
5/2/2018,4452,3890
5/3/2018,2680,4030
5/4/2018,3715,4010
5/5/2018,3930,3990
5/6/2018,6604,3990
5/7/2018,2750,4230
5/8/2018,7044,4210
5/9/2018,6760,4470
5/10/2018,9888,4740
5/11/2018,12647,5030
5/12/2018,3791,5340
5/13/2018,4881,5270
5/14/2018,4536,5270
5/15/2018,5399,5020
5/16/2018,3345,5120
5/17/2018,7400,5040
5/18/2018,8433,5350
5/19/2018,2602,5670
5/20/2018,552,5520
5/21/2018,2783,5250
5/22/2018,5568,4990
5/23/2018,4698,5140
5/24/2018,11471,5120
5/25/2018,7121,5430
5/26/2018,12291,5760
5/27/2018,5896,6110
5/28/2018,922,6100
5/29/2018,6736,5800
5/30/2018,5105,6040
5/31/2018,6873,6000
6/1/2018,6274,6220
6/2/2018,1987,6260
6/3/2018,5770,6050
6/4/2018,4741,4110
6/5/2018,6483,4180
6/6/2018,8651,4640
6/7/2018,6019,5450
6/8/2018,6301,5570
6/9/2018,16999,5720
6/10/2018,1823,7720
6/11/2018,2113,7130
6/12/2018,5120,6130
6/13/2018,5195,5930
6/14/2018,6483,5790
6/15/2018,6840,5860
6/16/2018,5509,6060
6/17/2018,2942,6010
6/18/2018,4394,5400
6/19/2018,5479,5200
6/20/2018,5277,5230
6/21/2018,13504,5240
6/22/2018,11973,6900
6/23/2018,15426,7920
6/24/2018,16525,9430
6/25/2018,3498,10850
6/26/2018,1913,10120
6/27/2018,1573,8480
6/28/2018,1585,7100
6/29/2018,1706,6000
6/30/2018,2835,5150
7/1/2018,1930,4690
7/2/2018,2317,4140
7/3/2018,5261,3780
7/4/2018,5930,3930
7/5/2018,5287,4330
7/6/2018,8729,4530
7/7/2018,1233,5370
7/8/2018,3412,4960
7/9/2018,2456,4650
7/10/2018,2200,4220
7/11/2018,4786,3820
